Epoch 62 valid AUC 0.859 (cont: 0.321, recon: 0.452)
Epoch 62 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 63 train AUC 0.950 (cont: 0.158, recon: 0.203)
Epoch 63 valid AUC 0.859 (cont: 0.321, recon: 0.452)
Epoch 63 test AUC 0.788 (cont: 0.345, recon: 0.520)
Epoch 64 train AUC 0.950 (cont: 0.158, recon: 0.203)
Epoch 64 valid AUC 0.859 (cont: 0.322, recon: 0.452)
Epoch 64 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 65 train AUC 0.950 (cont: 0.157, recon: 0.203)
Epoch 65 valid AUC 0.859 (cont: 0.321, recon: 0.452)
Epoch 65 test AUC 0.788 (cont: 0.347, recon: 0.520)
Epoch 66 train AUC 0.951 (cont: 0.157, recon: 0.203)
Epoch 66 valid AUC 0.860 (cont: 0.322, recon: 0.452)
Epoch 66 test AUC 0.787 (cont: 0.350, recon: 0.520)
Epoch 67 train AUC 0.951 (cont: 0.157, recon: 0.203)
Epoch 67 valid AUC 0.860 (cont: 0.321, recon: 0.452)
Epoch 67 test AUC 0.787 (cont: 0.351, recon: 0.520)
Epoch 68 train AUC 0.951 (cont: 0.157, recon: 0.203)
Epoch 68 valid AUC 0.861 (cont: 0.323, recon: 0.452)
Epoch 68 test AUC 0.788 (cont: 0.346, recon: 0.520)
Epoch 69 train AUC 0.951 (cont: 0.157, recon: 0.203)
Epoch 69 valid AUC 0.859 (cont: 0.321, recon: 0.452)
Epoch 69 test AUC 0.789 (cont: 0.344, recon: 0.520)
Epoch 70 train AUC 0.951 (cont: 0.156, recon: 0.203)
Epoch 70 valid AUC 0.859 (cont: 0.321, recon: 0.452)
Epoch 70 test AUC 0.789 (cont: 0.344, recon: 0.520)
Epoch 71 train AUC 0.951 (cont: 0.156, recon: 0.203)
Epoch 71 valid AUC 0.859 (cont: 0.321, recon: 0.452)
Epoch 71 test AUC 0.789 (cont: 0.344, recon: 0.520)
Epoch 72 train AUC 0.951 (cont: 0.156, recon: 0.203)
Epoch 72 valid AUC 0.859 (cont: 0.320, recon: 0.452)
Epoch 72 test AUC 0.789 (cont: 0.344, recon: 0.520)
Epoch 73 train AUC 0.951 (cont: 0.156, recon: 0.203)
Epoch 73 valid AUC 0.859 (cont: 0.320, recon: 0.452)
Epoch 73 test AUC 0.789 (cont: 0.344, recon: 0.520)
Epoch 74 train AUC 0.951 (cont: 0.155, recon: 0.203)
Epoch 74 valid AUC 0.859 (cont: 0.320, recon: 0.452)
Epoch 74 test AUC 0.789 (cont: 0.344, recon: 0.520)
Epoch 75 train AUC 0.952 (cont: 0.155, recon: 0.203)
Epoch 75 valid AUC 0.859 (cont: 0.320, recon: 0.452)
Epoch 75 test AUC 0.789 (cont: 0.344, recon: 0.520)
Epoch 76 train AUC 0.952 (cont: 0.155, recon: 0.203)
Epoch 76 valid AUC 0.859 (cont: 0.320, recon: 0.452)
Epoch 76 test AUC 0.789 (cont: 0.344, recon: 0.520)
Epoch 77 train AUC 0.952 (cont: 0.155, recon: 0.203)
Epoch 77 valid AUC 0.859 (cont: 0.320, recon: 0.452)
Epoch 77 test AUC 0.789 (cont: 0.345, recon: 0.520)
Epoch 78 train AUC 0.952 (cont: 0.155, recon: 0.203)
Epoch 78 valid AUC 0.859 (cont: 0.320, recon: 0.452)
Epoch 78 test AUC 0.789 (cont: 0.345, recon: 0.520)
Epoch 79 train AUC 0.952 (cont: 0.154, recon: 0.203)
