Epoch 44 valid AUC 0.871 (cont: 0.175, recon: 0.000) protein
Epoch 44 test AUC 0.816 (cont: 0.158, recon: 0.000) protein
Epoch 45 train AUC 0.687 (cont: 0.008, recon: 0.000) dna
Epoch 45 valid AUC 0.670 (cont: 0.040, recon: 0.000) dna
Epoch 45 test AUC 0.589 (cont: 0.075, recon: 0.000) dna
Epoch 46 train AUC 0.760 (cont: 0.040, recon: 0.000) molecule
Epoch 46 valid AUC 0.764 (cont: 0.046, recon: 0.000) molecule
Epoch 46 test AUC 0.723 (cont: 0.056, recon: 0.000) molecule
Epoch 47 train AUC 0.840 (cont: 0.026, recon: 0.000) text
Epoch 47 valid AUC 0.821 (cont: 0.052, recon: 0.000) text
Epoch 47 test AUC 0.696 (cont: 0.083, recon: 0.000) text
Epoch 48 train AUC 0.920 (cont: 0.159, recon: 0.000) protein
Epoch 48 valid AUC 0.872 (cont: 0.175, recon: 0.000) protein
Epoch 48 test AUC 0.818 (cont: 0.157, recon: 0.000) protein
Epoch 49 train AUC 0.685 (cont: 0.008, recon: 0.000) dna
Epoch 49 valid AUC 0.670 (cont: 0.040, recon: 0.000) dna
Epoch 49 test AUC 0.590 (cont: 0.075, recon: 0.000) dna
