Epoch 44 valid AUC 0.800 (cont: 0.219, recon: 0.068)
Epoch 44 test AUC 0.752 (cont: 0.194, recon: 0.075)
Epoch 45 train AUC 0.861 (cont: 0.222, recon: 0.042)
Epoch 45 valid AUC 0.800 (cont: 0.219, recon: 0.068)
Epoch 45 test AUC 0.752 (cont: 0.194, recon: 0.075)
Epoch 46 train AUC 0.862 (cont: 0.222, recon: 0.042)
Epoch 46 valid AUC 0.800 (cont: 0.219, recon: 0.068)
Epoch 46 test AUC 0.752 (cont: 0.194, recon: 0.075)
Epoch 47 train AUC 0.862 (cont: 0.222, recon: 0.042)
Epoch 47 valid AUC 0.800 (cont: 0.219, recon: 0.068)
Epoch 47 test AUC 0.752 (cont: 0.194, recon: 0.075)
Epoch 48 train AUC 0.862 (cont: 0.222, recon: 0.042)
Epoch 48 valid AUC 0.800 (cont: 0.219, recon: 0.068)
Epoch 48 test AUC 0.752 (cont: 0.194, recon: 0.075)
Epoch 49 train AUC 0.862 (cont: 0.222, recon: 0.042)
Epoch 49 valid AUC 0.801 (cont: 0.219, recon: 0.068)
Epoch 49 test AUC 0.753 (cont: 0.194, recon: 0.075)
Epoch 50 train AUC 0.862 (cont: 0.222, recon: 0.042)
Epoch 50 valid AUC 0.801 (cont: 0.219, recon: 0.068)
Epoch 50 test AUC 0.753 (cont: 0.194, recon: 0.075)
Epoch 51 train AUC 0.863 (cont: 0.222, recon: 0.042)
Epoch 51 valid AUC 0.801 (cont: 0.219, recon: 0.068)
Epoch 51 test AUC 0.753 (cont: 0.194, recon: 0.075)
Epoch 52 train AUC 0.863 (cont: 0.222, recon: 0.042)
Epoch 52 valid AUC 0.801 (cont: 0.218, recon: 0.068)
Epoch 52 test AUC 0.753 (cont: 0.194, recon: 0.075)
Epoch 53 train AUC 0.863 (cont: 0.222, recon: 0.042)
Epoch 53 valid AUC 0.801 (cont: 0.218, recon: 0.068)
Epoch 53 test AUC 0.753 (cont: 0.194, recon: 0.075)
Epoch 54 train AUC 0.863 (cont: 0.221, recon: 0.042)
Epoch 54 valid AUC 0.801 (cont: 0.218, recon: 0.068)
Epoch 54 test AUC 0.753 (cont: 0.194, recon: 0.075)
Epoch 55 train AUC 0.863 (cont: 0.221, recon: 0.042)
Epoch 55 valid AUC 0.801 (cont: 0.218, recon: 0.068)
Epoch 55 test AUC 0.753 (cont: 0.194, recon: 0.075)
Epoch 56 train AUC 0.863 (cont: 0.221, recon: 0.042)
Epoch 56 valid AUC 0.801 (cont: 0.218, recon: 0.068)
Epoch 56 test AUC 0.753 (cont: 0.194, recon: 0.075)
Epoch 57 train AUC 0.864 (cont: 0.221, recon: 0.042)
Epoch 57 valid AUC 0.801 (cont: 0.218, recon: 0.068)
Epoch 57 test AUC 0.753 (cont: 0.194, recon: 0.075)
Epoch 58 train AUC 0.864 (cont: 0.221, recon: 0.042)
Epoch 58 valid AUC 0.801 (cont: 0.218, recon: 0.068)
Epoch 58 test AUC 0.753 (cont: 0.194, recon: 0.075)
Epoch 59 train AUC 0.864 (cont: 0.221, recon: 0.042)
Epoch 59 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 59 test AUC 0.753 (cont: 0.194, recon: 0.075)
Epoch 60 train AUC 0.864 (cont: 0.221, recon: 0.042)
Epoch 60 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 60 test AUC 0.753 (cont: 0.194, recon: 0.075)
Epoch 61 train AUC 0.864 (cont: 0.221, recon: 0.042)
Epoch 61 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 61 test AUC 0.754 (cont: 0.194, recon: 0.075)
Epoch 62 train AUC 0.864 (cont: 0.221, recon: 0.042)
Epoch 62 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 62 test AUC 0.754 (cont: 0.194, recon: 0.075)
Epoch 63 train AUC 0.864 (cont: 0.221, recon: 0.042)
Epoch 63 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 63 test AUC 0.754 (cont: 0.194, recon: 0.075)
Epoch 64 train AUC 0.865 (cont: 0.221, recon: 0.042)
Epoch 64 valid AUC 0.802 (cont: 0.218, recon: 0.068)
Epoch 64 test AUC 0.754 (cont: 0.194, recon: 0.075)
