name,m_fuse,p_fuse,m_model,p_model,epoch,part,auc,accuracy,precision,recall,aupr
ProtBertT5-xl_chemberta,True,True,False,False,98,test,0.9829088170884196,0.9373368146214099,0.9702233250620348,0.9156908665105387,0.9886084175237116
ESM-1B_roberta,True,True,False,False,99,test,0.9855754284885287,0.943864229765013,0.9423963133640553,0.9578454332552693,0.9894040361640696
ProtBertT5-xl_roberta,True,True,False,False,136,test,0.9907083100177543,0.9569190600522193,0.966824644549763,0.955503512880562,0.9937928232558695
ProtBertT5-xl_pebchem10m,True,True,False,False,130,test,0.9831989665153744,0.9360313315926893,0.9587378640776699,0.9250585480093677,0.988590542893295
ESM3_chemberta,True,True,False,False,124,test,0.9848155133226946,0.9477806788511749,0.9754299754299754,0.9297423887587822,0.9897861347565516
ESM-1B_pebchem10m,True,True,False,False,148,test,0.9844010141413304,0.9490861618798956,0.9532710280373832,0.955503512880562,0.9894661935310564
ProtBert-BFD_pebchem10m,True,True,False,False,140,test,0.9836549156148751,0.9451697127937336,0.9683698296836983,0.9320843091334895,0.9884832049131893
ESM-1B_chemberta,True,True,False,False,182,test,0.9896444287855864,0.95822454308094,0.9582366589327146,0.9672131147540983,0.9931630132253992
ESM3_pebchem10m,True,True,False,False,175,test,0.9919379909224679,0.9647519582245431,0.9784688995215312,0.9578454332552693,0.9941544023331996
ProtBert-BFD_chemberta,True,True,False,False,183,test,0.9891815713663966,0.95822454308094,0.9603729603729604,0.9648711943793911,0.9925311569898532
ESM3_roberta,True,True,False,False,241,test,0.9924492065794837,0.9634464751958225,0.9672131147540983,0.9672131147540983,0.9943176499242257
ProtBert-BFD_roberta,True,True,False,False,226,test,0.9930295054333934,0.9647519582245431,0.9739336492890995,0.9625292740046838,0.9951877305081991
ProtBertT5-xl_chemberta,False,False,True,True,109,test,0.9911020842400502,0.9660574412532638,0.983132530120482,0.955503512880562,0.9941059060409844
ESM-1B_roberta,False,False,True,True,121,test,0.993485454532894,0.9660574412532638,0.9854721549636803,0.9531615925058547,0.9952930359314618
ESM2_chemberta,True,True,False,False,239,test,0.9893335543995634,0.9464751958224543,0.957345971563981,0.9461358313817331,0.9924983222387009
ESM2_pebchem10m,True,True,False,False,205,test,0.9882834898067743,0.9569190600522193,0.9624413145539906,0.9601873536299765,0.9917513554318771
ProtBertT5-xl_roberta,False,False,True,True,134,test,0.9931883967862497,0.9738903394255874,0.9903614457831326,0.9625292740046838,0.9949407730869374
ProtBertT5-xl_pebchem10m,False,False,True,True,124,test,0.989050313292298,0.9608355091383812,0.9605568445475638,0.9695550351288056,0.9929786537883609
ESM3_pebchem10m,False,False,True,True,88,test,0.9819692856106609,0.9490861618798956,0.973170731707317,0.9344262295081968,0.9891960370679365
ESM2_roberta,True,True,False,False,241,test,0.9905632353042768,0.9569190600522193,0.9712918660287081,0.9508196721311475,0.9933278725422836
ESM3_chemberta,False,False,True,True,137,test,0.9846773469289065,0.9556135770234987,0.9623529411764706,0.9578454332552693,0.9899397988120142
ProtBert-BFD_pebchem10m,False,False,True,True,137,test,0.993278204942212,0.9778067885117493,0.9880952380952381,0.9718969555035128,0.9952988335159068
ESM-1B_pebchem10m,False,False,True,True,160,test,0.9929673305561888,0.9686684073107049,0.9632183908045977,0.9812646370023419,0.9955082984427065
ProtBertT5-xl_chemberta,True,True,False,True,82,test,0.9877860907891374,0.9399477806788512,0.9680589680589681,0.9227166276346604,0.9912940297064938
ProtBert-BFD_chemberta,False,False,True,True,135,test,0.9932160300650074,0.9699738903394256,0.9786729857819905,0.9672131147540983,0.9953320285546138
