name,m_fuse,p_fuse,m_model,p_model,epoch,part,auc,accuracy,precision,recall,aupr
ProtBertT5-xl_chemberta,True,True,True,True,111,test,0.9121178003576221,0.8319289106787192,0.8104502501389661,0.8754127889522666,0.9133496075782792
ProtBert-BFD_chemberta,False,True,True,True,98,test,0.9033711430552731,0.8211628966145438,0.8155455904334828,0.8294314381270903,0.9043416069169816
ESM3_roberta,True,True,True,True,160,test,0.9097994380444877,0.8328525884317596,0.8357888275015347,0.8279112192155671,0.906717638839037
ProtBertT5-xl_pebchem10m,True,True,False,False,201,test,0.9199622933800843,0.8423471732802206,0.828669331810394,0.871209846892825,0.9232758850940523
ProtBertT5-xl_roberta,False,False,True,True,113,test,0.9124043432405187,0.8356059445380726,0.8132630410654828,0.8799159411588112,0.9119291195504453
ESM-1B_pebchem10m,False,False,True,True,178,test,0.8950472761346282,0.8150903294367694,0.8439056791763534,0.7725752508361204,0.8988636749155768
ProtBert-BFD_roberta,True,False,True,True,131,test,0.9091956834264425,0.8331562167906482,0.8184991273996509,0.8555792034052904,0.9097891299825935
ESM-1B_roberta,False,True,True,True,156,test,0.9113634473734141,0.833459845149537,0.8238770685579196,0.8476740650653695,0.9113229756985977
ProtBert-BFD_pebchem10m,True,True,True,True,134,test,0.9133924723526743,0.8339206373525356,0.8221967307140808,0.860702491744221,0.916405345832046
ESM3_pebchem10m,False,False,True,True,164,test,0.9049498567454113,0.8314862608167602,0.8345102855388394,0.8263910003040438,0.9041930502063781
ProtBertT5-xl_pebchem10m,False,False,True,True,144,test,0.9148505487007362,0.8379040907001686,0.8339700264472524,0.8519963974782347,0.9147683811947943
ESM3_chemberta,True,True,True,False,166,test,0.8966698263373455,0.8084105055412175,0.7888287261328014,0.8415931894192764,0.9008827558373173
ESM2_roberta,True,True,True,False,212,test,0.9018918105650513,0.8191893122817672,0.811091340450771,0.8315597446032229,0.9045127622019313
ESM-1B_chemberta,True,True,False,True,245,test,0.9127424917170418,0.831774267750345,0.8157661647475642,0.853831891223733,0.9113001911417707
ProtBert-BFD_chemberta,True,False,True,True,163,test,0.9056259807901119,0.8217701533323213,0.7953085730242949,0.8659166920036485,0.9029029537179746
ESM2_chemberta,False,False,True,True,218,test,0.8955650171538589,0.8163048428723243,0.7981072555205048,0.8461538461538461,0.897946411252848
ProtBertT5-xl_roberta,True,True,False,True,142,test,0.9165582991949183,0.8421939635360809,0.8297506448839209,0.8691083758631042,0.9163887309368786
ESM-1B_roberta,True,False,True,True,92,test,0.8822706612869293,0.7974798846212237,0.8059467918622848,0.7829127394344786,0.8862868890737883
ESM2_pebchem10m,True,True,True,True,205,test,0.9055773042840304,0.8284499772278731,0.8316436251920123,0.8230465186986926,0.906813293442172
ProtBertT5-xl_chemberta,True,True,False,False,246,test,0.9172433532008075,0.8337674276083958,0.8283625730994152,0.8504953467427199,0.9218380066656846
ProtBert-BFD_roberta,True,True,True,True,137,test,0.9171845510881398,0.8354527347939329,0.8221524407650586,0.8646052236565596,0.9160143335613411
ESM3_roberta,True,True,False,False,249,test,0.8995171714672334,0.8197965689995446,0.8098466981132075,0.8352082699908787,0.9021187925828809
ESM-1B_pebchem10m,True,True,False,True,215,test,0.9150721730612047,0.839380598147867,0.8285714285714286,0.8552751596229857,0.9157014912683911
ProtBertT5-xl_pebchem10m,True,True,False,True,131,test,0.9153165977135185,0.8333077983759767,0.8133556859457949,0.8739117382167517,0.9146595115357767
ESM3_pebchem10m,True,True,False,True,180,test,0.9024063249219471,0.8249582511006528,0.7998315553060079,0.8662207357859532,0.8990255930891857
ESM-1B_chemberta,True,True,True,False,137,test,0.9094044266085684,0.8262536420794356,0.8185398364132082,0.8349814585908529,0.9113299230053922
ESM2_roberta,False,True,True,True,161,test,0.8999680744809545,0.824199180203431,0.8121886903017873,0.842809364548495,0.9015759784860606
ProtBert-BFD_pebchem10m,True,True,False,False,245,test,0.9084850791048102,0.8236555844951738,0.8123209169054442,0.8510957670369258,0.9135609411324049
ProtBert-BFD_chemberta,True,True,True,True,147,test,0.9079851202475024,0.8285582963076452,0.8189158016147635,0.8525968177724407,0.9117515031194867
ESM3_chemberta,False,True,True,True,171,test,0.8978401367662316,0.8229846667678761,0.8058196485162777,0.8504104591061112,0.8842489351907092
ProtBertT5-xl_roberta,True,True,True,False,155,test,0.9099424979212608,0.8362187835146315,0.8297376093294461,0.8543980786550586,0.9111446520269666
ProtBertT5-xl_chemberta,False,False,True,True,142,test,0.9029356532050533,0.8253408916807109,0.821166813251246,0.8408886220354248,0.9028309433675548
ESM-1B_roberta,True,True,True,True,176,test,0.9173117364883828,0.8426535927685,0.8392226148409894,0.8555989192434704,0.9203480764514205
ESM2_chemberta,True,True,False,True,229,test,0.9019817422538441,0.8179747988462123,0.7950310559006211,0.8561872909698997,0.9041201182124123
ESM-1B_pebchem10m,True,True,True,False,133,test,0.9084841582864099,0.829664490663428,0.8109038737446198,0.8592277287929462,0.9128222921603982
ESM2_pebchem10m,True,True,False,False,249,test,0.8929805989090932,0.812813116745104,0.8012895662368112,0.8312557008209183,0.8950742704830009
