name,seed,use_fuse,use_model,acc
mol-pebchem10m-SIDER,46,False,True,0.5811206383305202
mol-roberta-SIDER,47,True,False,0.601111619062132
mol-chemberta-SIDER,46,True,True,0.5846189964707688
mol-pebchem10m-SIDER,47,True,True,0.5681079898986124
mol-roberta-SIDER,47,False,True,0.5872690379676294
mol-chemberta-SIDER,46,True,False,0.5928327144391592
mol-roberta-SIDER,48,True,True,0.5763931587964772
mol-pebchem10m-SIDER,47,True,False,0.614813536797022
mol-chemberta-SIDER,46,False,True,0.5789697099892589
mol-roberta-SIDER,48,True,False,0.592238660614987
mol-pebchem10m-SIDER,47,False,True,0.5841222447625487
mol-chemberta-SIDER,47,True,True,0.6010155845722577
mol-roberta-SIDER,48,False,True,0.5728585770537137
mol-pebchem10m-SIDER,48,True,True,0.5833012113378822
mol-roberta-SIDER,49,True,True,0.5777322373693581
mol-pebchem10m-SIDER,48,True,False,0.6010279840091377
mol-pebchem10m-SIDER,48,False,True,0.5760568096426102
mol-chemberta-SIDER,47,True,False,0.6584312665343552
mol-chemberta-SIDER,47,False,True,0.5987716865170507
mol-pebchem10m-SIDER,49,True,True,0.5932451935672602
mol-roberta-SIDER,49,True,False,0.6521204782853626
mol-chemberta-SIDER,48,True,True,0.5751416032943582
mol-roberta-SIDER,49,False,True,0.5804345390434148
mol-pebchem10m-SIDER,49,True,False,0.6441568830850223
mol-roberta-SIDER,50,True,True,0.5863670764998035
mol-chemberta-SIDER,48,True,False,0.624974721211939
mol-pebchem10m-SIDER,49,False,True,0.5941133226943598
mol-roberta-SIDER,50,True,False,0.6355677079782933
mol-chemberta-SIDER,48,False,True,0.5879419279208873
mol-pebchem10m-SIDER,50,True,True,0.5831762626137322
mol-roberta-SIDER,50,False,True,0.5925121045822417
mol-chemberta-SIDER,49,True,True,0.5859524501150222
mol-roberta-SIDER,51,True,True,0.5759496781168608
mol-pebchem10m-SIDER,50,True,False,0.6225473181313768
mol-chemberta-SIDER,49,True,False,0.6061441641270524
mol-pebchem10m-SIDER,50,False,True,0.5861961153088973
mol-roberta-SIDER,51,True,False,0.6183161709935032
mol-chemberta-SIDER,49,False,True,0.585182537112656
mol-roberta-SIDER,51,False,True,0.5875786491245016
mol-pebchem10m-SIDER,51,True,True,0.6097072827921247
mol-chemberta-SIDER,50,True,True,0.5890144156595875
mol-roberta-SIDER,52,True,True,0.5859693358527007
mol-chemberta-SIDER,50,True,False,0.626880783865792
mol-pebchem10m-SIDER,51,True,False,0.6273286083943559
mol-chemberta-SIDER,50,False,True,0.5767358612867024
mol-roberta-SIDER,52,True,False,0.6229344570218118
mol-pebchem10m-SIDER,51,False,True,0.5934791339403275
mol-chemberta-SIDER,51,True,True,0.5461537306997815
mol-roberta-SIDER,52,False,True,0.5745226051894295
mol-pebchem10m-SIDER,52,True,True,0.6032105871839353
mol-chemberta-SIDER,51,True,False,0.5803575513690049
mol-roberta-SIDER,53,True,True,0.6125971139776782
mol-chemberta-SIDER,51,False,True,0.6019256462415578
mol-pebchem10m-SIDER,52,True,False,0.6391674868239421
mol-roberta-SIDER,53,True,False,0.6436031811141246
mol-chemberta-SIDER,52,True,True,0.5914283708220653
mol-roberta-SIDER,53,False,True,0.601455071966891
mol-pebchem10m-SIDER,52,False,True,0.6025076126170854
mol-chemberta-SIDER,52,True,False,0.6336480960669443
mol-roberta-SIDER,54,True,True,0.5968093820128155
mol-pebchem10m-SIDER,53,True,True,0.5993222684110959
mol-chemberta-SIDER,52,False,True,0.5988949658405711
mol-chemberta-SIDER,53,True,True,0.5971833426187254
mol-pebchem10m-SIDER,53,True,False,0.6279059502017277
mol-roberta-SIDER,54,True,False,0.6532637169110339
mol-pebchem10m-SIDER,53,False,True,0.6026002975406975
mol-chemberta-SIDER,53,True,False,0.623731625637478
mol-roberta-SIDER,54,False,True,0.600168931733047
mol-pebchem10m-SIDER,54,True,True,0.6018131773953641
mol-chemberta-SIDER,53,False,True,0.6028718187328195
mol-roberta-SIDER,55,True,True,0.5791844642476961
mol-chemberta-SIDER,54,True,True,0.5861742687947056
mol-pebchem10m-SIDER,54,True,False,0.6345589146118147
mol-pebchem10m-SIDER,54,False,True,0.5939153127961767
mol-chemberta-SIDER,54,True,False,0.6166972705894103
mol-roberta-SIDER,55,True,False,0.6244612062410657
mol-chemberta-SIDER,54,False,True,0.5819310503103043
mol-pebchem10m-SIDER,55,True,True,0.5814731591593418
mol-chemberta-SIDER,55,True,True,0.5694255299735393
mol-roberta-SIDER,55,False,True,0.5960459259709845
mol-pebchem10m-SIDER,55,True,False,0.6162032908543447
mol-roberta-SIDER,56,True,True,0.5854206486155119
mol-chemberta-SIDER,55,True,False,0.5766195443900362
mol-pebchem10m-SIDER,55,False,True,0.5918178776726786
