Epoch 112 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 112 test AUC 0.729 (cont: 0.401, recon: 0.260)
Epoch 113 train AUC 0.856 (cont: 0.295, recon: 0.101)
Epoch 113 valid AUC 0.797 (cont: 0.398, recon: 0.226)
Epoch 113 test AUC 0.729 (cont: 0.399, recon: 0.260)
Epoch 114 train AUC 0.856 (cont: 0.295, recon: 0.101)
Epoch 114 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 114 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 115 train AUC 0.856 (cont: 0.295, recon: 0.101)
Epoch 115 valid AUC 0.797 (cont: 0.399, recon: 0.226)
Epoch 115 test AUC 0.729 (cont: 0.399, recon: 0.260)
Epoch 116 train AUC 0.856 (cont: 0.295, recon: 0.101)
Epoch 116 valid AUC 0.797 (cont: 0.398, recon: 0.226)
Epoch 116 test AUC 0.729 (cont: 0.398, recon: 0.260)
Epoch 117 train AUC 0.856 (cont: 0.295, recon: 0.101)
Epoch 117 valid AUC 0.797 (cont: 0.401, recon: 0.226)
Epoch 117 test AUC 0.729 (cont: 0.401, recon: 0.260)
Epoch 118 train AUC 0.856 (cont: 0.295, recon: 0.101)
Epoch 118 valid AUC 0.797 (cont: 0.399, recon: 0.226)
Epoch 118 test AUC 0.729 (cont: 0.399, recon: 0.260)
Epoch 119 train AUC 0.857 (cont: 0.295, recon: 0.101)
Epoch 119 valid AUC 0.797 (cont: 0.398, recon: 0.226)
Epoch 119 test AUC 0.729 (cont: 0.398, recon: 0.260)
Epoch 120 train AUC 0.857 (cont: 0.295, recon: 0.101)
Epoch 120 valid AUC 0.797 (cont: 0.401, recon: 0.226)
Epoch 120 test AUC 0.729 (cont: 0.402, recon: 0.260)
Epoch 121 train AUC 0.857 (cont: 0.295, recon: 0.101)
Epoch 121 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 121 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 122 train AUC 0.857 (cont: 0.295, recon: 0.101)
Epoch 122 valid AUC 0.797 (cont: 0.397, recon: 0.226)
Epoch 122 test AUC 0.729 (cont: 0.397, recon: 0.260)
Epoch 123 train AUC 0.857 (cont: 0.295, recon: 0.101)
Epoch 123 valid AUC 0.797 (cont: 0.401, recon: 0.226)
Epoch 123 test AUC 0.729 (cont: 0.401, recon: 0.260)
Epoch 124 train AUC 0.857 (cont: 0.295, recon: 0.101)
Epoch 124 valid AUC 0.797 (cont: 0.401, recon: 0.226)
Epoch 124 test AUC 0.729 (cont: 0.401, recon: 0.260)
Epoch 125 train AUC 0.857 (cont: 0.295, recon: 0.101)
Epoch 125 valid AUC 0.797 (cont: 0.398, recon: 0.226)
Epoch 125 test AUC 0.729 (cont: 0.397, recon: 0.260)
Epoch 126 train AUC 0.857 (cont: 0.294, recon: 0.101)
Epoch 126 valid AUC 0.797 (cont: 0.397, recon: 0.226)
Epoch 126 test AUC 0.729 (cont: 0.397, recon: 0.260)
Epoch 127 train AUC 0.857 (cont: 0.294, recon: 0.101)
Epoch 127 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 127 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 128 train AUC 0.857 (cont: 0.294, recon: 0.101)
Epoch 128 valid AUC 0.797 (cont: 0.399, recon: 0.226)
Epoch 128 test AUC 0.729 (cont: 0.399, recon: 0.260)
Epoch 129 train AUC 0.857 (cont: 0.294, recon: 0.101)
Epoch 129 valid AUC 0.797 (cont: 0.397, recon: 0.226)
Epoch 129 test AUC 0.729 (cont: 0.396, recon: 0.260)
Epoch 130 train AUC 0.857 (cont: 0.294, recon: 0.101)
Epoch 130 valid AUC 0.797 (cont: 0.399, recon: 0.226)
Epoch 130 test AUC 0.729 (cont: 0.398, recon: 0.260)
Epoch 131 train AUC 0.857 (cont: 0.294, recon: 0.101)
Epoch 131 valid AUC 0.797 (cont: 0.399, recon: 0.226)
Epoch 131 test AUC 0.729 (cont: 0.398, recon: 0.260)
Epoch 132 train AUC 0.858 (cont: 0.294, recon: 0.101)
Epoch 132 valid AUC 0.797 (cont: 0.400, recon: 0.226)
Epoch 132 test AUC 0.729 (cont: 0.400, recon: 0.260)
Epoch 133 train AUC 0.858 (cont: 0.294, recon: 0.101)
Epoch 133 valid AUC 0.797 (cont: 0.398, recon: 0.226)
Epoch 133 test AUC 0.729 (cont: 0.397, recon: 0.260)
Epoch 134 train AUC 0.858 (cont: 0.294, recon: 0.101)
Epoch 134 valid AUC 0.797 (cont: 0.399, recon: 0.226)
Epoch 134 test AUC 0.729 (cont: 0.398, recon: 0.260)
Epoch 135 train AUC 0.858 (cont: 0.294, recon: 0.101)
Epoch 135 valid AUC 0.797 (cont: 0.398, recon: 0.226)
