name,seed,use_fuse,use_model,acc
mol-roberta-HIV,65,False,True,0.7987452012918614
mol-pebchem10m-HIV,67,True,False,0.7884347268524541
mol-chemberta-HIV,57,True,True,0.8127720822067914
mol-roberta-HIV,66,True,True,0.8185177865612648
mol-pebchem10m-HIV,67,False,True,0.7782402304961707
mol-pebchem10m-HIV,68,True,True,0.8025193230166591
mol-roberta-HIV,66,True,False,0.8238596105987411
mol-chemberta-HIV,57,True,False,0.7998762788980336
mol-roberta-HIV,66,False,True,0.8100497730932513
mol-pebchem10m-HIV,68,True,False,0.8309761650520352
mol-chemberta-HIV,57,False,True,0.7897411236436832
mol-pebchem10m-HIV,68,False,True,0.8004812081242427
mol-roberta-HIV,67,True,True,0.8092846510573662
mol-chemberta-HIV,58,True,True,0.7640797802228071
mol-pebchem10m-HIV,69,True,True,0.7950936274718025
mol-roberta-HIV,67,True,False,0.7978762163153015
mol-roberta-HIV,67,False,True,0.790149148607812
mol-pebchem10m-HIV,69,True,False,0.8093884935430375
mol-pebchem10m-HIV,69,False,True,0.8097629860926296
mol-roberta-HIV,68,True,True,0.8130646830029379
mol-chemberta-HIV,58,True,False,0.7749203826171212
mol-pebchem10m-HIV,70,True,True,0.7821349529470654
mol-chemberta-HIV,58,False,True,0.788524402900009
mol-pebchem10m-HIV,70,True,False,0.811159075891095
mol-roberta-HIV,68,True,False,0.8260845509922929
mol-chemberta-HIV,59,True,True,0.8046954928039267
mol-pebchem10m-HIV,70,False,True,0.7929310711075209
mol-roberta-HIV,68,False,True,0.8114788677846446
mol-pebchem10m-HIV,71,True,True,0.7629614315054798
mol-roberta-HIV,69,True,True,0.8033203272302029
mol-chemberta-HIV,59,True,False,0.8041172649272232
mol-chemberta-HIV,59,False,True,0.8131225560653516
mol-roberta-HIV,69,True,False,0.8100811313836025
mol-pebchem10m-HIV,71,True,False,0.7826519778016079
mol-pebchem10m-HIV,71,False,True,0.7496266441289978
mol-roberta-HIV,69,False,True,0.8298850255859898
mol-chemberta-HIV,60,True,True,0.808852452313291
mol-roberta-HIV,70,True,True,0.8044195873689535
mol-pebchem10m-HIV,72,True,True,0.7850085309496302
mol-pebchem10m-HIV,72,True,False,0.8120660084088662
mol-chemberta-HIV,60,True,False,0.813683478829759
mol-roberta-HIV,70,True,False,0.820698293040223
mol-pebchem10m-HIV,72,False,True,0.7732821972629498
mol-chemberta-HIV,60,False,True,0.7913135567231615
