name,m_fuse,p_fuse,m_model,p_model,auprc
Davis_ESM3_roberta,True,True,True,True,0.7981652617454529
Davis_ProtBert-BFD_roberta,True,False,True,True,0.8325010538101196
Davis_ESM-1B_roberta,False,False,True,True,0.7719022631645203
Davis_ProtBertT5-xl_roberta,False,False,True,True,0.8056161999702454
Davis_ESM-1B_chemberta,True,True,True,True,0.8188749551773071
Davis_ESM-1B_pebchem10m,True,True,True,True,0.823724627494812
Davis_ProtBertT5-xl_pebchem10m,True,True,False,False,0.791277289390564
Davis_ESM2_roberta,True,False,True,True,0.8031094670295715
Davis_ESM2_chemberta,True,True,False,False,0.7902808785438538
Davis_ProtBertT5-xl_chemberta,True,True,True,True,0.8300370573997498
Davis_ESM2_pebchem10m,True,True,True,True,0.7861616015434265
Davis_ProtBert-BFD_pebchem10m,False,True,True,True,0.8357582092285156
Davis_ProtBert-BFD_chemberta,True,False,True,True,0.812518835067749
Davis_ProtBert-BFD_roberta,True,True,True,True,0.8156762719154358
Davis_ESM-1B_chemberta,True,True,False,False,0.8146539330482483
Davis_ProtBertT5-xl_pebchem10m,False,False,True,True,0.81337970495224
Davis_ProtBertT5-xl_roberta,True,True,False,True,0.8187175989151001
Davis_ESM3_pebchem10m,True,True,True,True,0.8199818134307861
Davis_ESM-1B_roberta,True,True,False,True,0.813983142375946
Davis_ESM3_roberta,True,True,False,False,0.824958086013794
Davis_ESM-1B_pebchem10m,True,True,False,False,0.8311402797698975
Davis_ESM2_pebchem10m,True,True,False,False,0.7683573365211487
Davis_ESM2_roberta,True,True,True,True,0.7887107729911804
Davis_ESM2_chemberta,False,False,True,True,0.7773059606552124
Davis_ProtBert-BFD_pebchem10m,True,False,True,True,0.834204912185669
Davis_ESM3_roberta,False,False,True,True,0.7923327684402466
Davis_ProtBert-BFD_chemberta,True,True,True,True,0.8163604736328125
Davis_ProtBert-BFD_roberta,True,True,False,False,0.7877846360206604
Davis_ProtBertT5-xl_roberta,True,True,True,False,0.7924331426620483
Davis_ProtBertT5-xl_chemberta,True,True,False,False,0.8127608895301819
Davis_ESM3_pebchem10m,True,True,False,False,0.7856972813606262
Davis_ESM-1B_roberta,True,True,True,False,0.8061350584030151
Davis_ProtBertT5-xl_pebchem10m,True,True,False,True,0.8264439105987549
Davis_ESM-1B_chemberta,False,False,True,True,0.7751643061637878
Davis_ESM-1B_pebchem10m,False,False,True,True,0.7755206823348999
Davis_ESM2_pebchem10m,False,False,True,True,0.7848328948020935
Davis_ESM2_chemberta,True,True,False,True,0.7840254306793213
Davis_ESM2_roberta,True,True,False,False,0.7898035645484924
Davis_ESM3_pebchem10m,False,False,True,True,0.7938883304595947
Davis_ProtBert-BFD_pebchem10m,True,True,True,True,0.81974858045578
Davis_ProtBert-BFD_roberta,False,False,True,True,0.8042008280754089
Davis_ProtBert-BFD_chemberta,True,True,False,False,0.7990706562995911
Davis_ESM-1B_roberta,False,True,True,True,0.803532063961029
